COMMENT,,,ValveAlarm$NXV441-31 - TK441 Inlet Drain Valve$N Spare,,ValveAlarms[005].12
COMMENT,,,ValveAlarm$NXV441-31 - TK441 Inlet Drain Valve$N Spare,,ValveAlarms[005].13
COMMENT,,,ValveAlarm$NXV441-31 - TK441 Inlet Drain Valve$N Spare,,ValveAlarms[005].14
COMMENT,,,ValveAlarm$NXV441-31 - TK441 Inlet Drain Valve$N Spare,,ValveAlarms[005].15
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Valve Alarm,,ValveAlarms[006]
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Not Closing,,ValveAlarms[006].0
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Not Opening,,ValveAlarms[006].1
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Lower Seat Not Lifting,,ValveAlarms[006].2
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Upper Seat Not Lifting,,ValveAlarms[006].3
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N CheckSum Error,,ValveAlarms[006].4
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Position Overrange,,ValveAlarms[006].5
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N No DeviceNet,,ValveAlarms[006].6
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N TX RX Error,,ValveAlarms[006].7
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Button 1 Failure,,ValveAlarms[006].8
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Button 2 Failure,,ValveAlarms[006].9
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Actuation Timeout,,ValveAlarms[006].10
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Multiple Solenoid ON,,ValveAlarms[006].11
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Spare,,ValveAlarms[006].12
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Spare,,ValveAlarms[006].13
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Spare,,ValveAlarms[006].14
COMMENT,,,ValveAlarm$NXV442-05 - TK442 Discharge Valve$N Spare,,ValveAlarms[006].15
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Valve Alarm,,ValveAlarms[007]
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Not Closing,,ValveAlarms[007].0
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Not Opening,,ValveAlarms[007].1
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Lower Seat Not Lifting,,ValveAlarms[007].2
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Upper Seat Not Lifting,,ValveAlarms[007].3
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N CheckSum Error,,ValveAlarms[007].4
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Position Overrange,,ValveAlarms[007].5
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N No DeviceNet,,ValveAlarms[007].6
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N TX RX Error,,ValveAlarms[007].7
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Button 1 Failure,,ValveAlarms[007].8
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Button 2 Failure,,ValveAlarms[007].9
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Actuation Timeout,,ValveAlarms[007].10
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Multiple Solenoid ON,,ValveAlarms[007].11
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Spare,,ValveAlarms[007].12
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Spare,,ValveAlarms[007].13
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Spare,,ValveAlarms[007].14
COMMENT,,,ValveAlarm$NXV442-30 - TK442 Inlet Valve$N Spare,,ValveAlarms[007].15
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Valve Alarm,,ValveAlarms[008]
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Not Closing,,ValveAlarms[008].0
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Not Opening,,ValveAlarms[008].1
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Lower Seat Not Lifting,,ValveAlarms[008].2
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Upper Seat Not Lifting,,ValveAlarms[008].3
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N CheckSum Error,,ValveAlarms[008].4
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Position Overrange,,ValveAlarms[008].5
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N No DeviceNet,,ValveAlarms[008].6
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N TX RX Error,,ValveAlarms[008].7
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Button 1 Failure,,ValveAlarms[008].8
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Button 2 Failure,,ValveAlarms[008].9
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Actuation Timeout,,ValveAlarms[008].10
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Multiple Solenoid ON,,ValveAlarms[008].11
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Spare,,ValveAlarms[008].12
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Spare,,ValveAlarms[008].13
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Spare,,ValveAlarms[008].14
COMMENT,,,ValveAlarm$NXV442-31 - TK442 Inlet Drain Valve$N Spare,,ValveAlarms[008].15
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Valve Alarm,,ValveAlarms[009]
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Not Closing,,ValveAlarms[009].0
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Not Opening,,ValveAlarms[009].1
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Lower Seat Not Lifting,,ValveAlarms[009].2
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Upper Seat Not Lifting,,ValveAlarms[009].3
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N CheckSum Error,,ValveAlarms[009].4
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Position Overrange,,ValveAlarms[009].5
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N No DeviceNet,,ValveAlarms[009].6
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N TX RX Error,,ValveAlarms[009].7
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Button 1 Failure,,ValveAlarms[009].8
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Button 2 Failure,,ValveAlarms[009].9
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Actuation Timeout,,ValveAlarms[009].10
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Multiple Solenoid ON,,ValveAlarms[009].11
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Spare,,ValveAlarms[009].12
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Spare,,ValveAlarms[009].13
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Spare,,ValveAlarms[009].14
COMMENT,,,ValveAlarm$NXV443-05 - TK443 Discharge Valve$N Spare,,ValveAlarms[009].15
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Valve Alarm,,ValveAlarms[010]
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Not Closing,,ValveAlarms[010].0
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Not Opening,,ValveAlarms[010].1
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Lower Seat Not Lifting,,ValveAlarms[010].2
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Upper Seat Not Lifting,,ValveAlarms[010].3
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N CheckSum Error,,ValveAlarms[010].4
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Position Overrange,,ValveAlarms[010].5
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N No DeviceNet,,ValveAlarms[010].6
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N TX RX Error,,ValveAlarms[010].7
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Button 1 Failure,,ValveAlarms[010].8
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Button 2 Failure,,ValveAlarms[010].9
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Actuation Timeout,,ValveAlarms[010].10
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Multiple Solenoid ON,,ValveAlarms[010].11
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Spare,,ValveAlarms[010].12
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Spare,,ValveAlarms[010].13
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Spare,,ValveAlarms[010].14
COMMENT,,,ValveAlarm$NXV443-30 - TK443 Inlet Valve$N Spare,,ValveAlarms[010].15
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Valve Alarm,,ValveAlarms[011]
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Not Closing,,ValveAlarms[011].0
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Not Opening,,ValveAlarms[011].1
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Lower Seat Not Lifting,,ValveAlarms[011].2
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Upper Seat Not Lifting,,ValveAlarms[011].3
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N CheckSum Error,,ValveAlarms[011].4
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Position Overrange,,ValveAlarms[011].5
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N No DeviceNet,,ValveAlarms[011].6
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N TX RX Error,,ValveAlarms[011].7
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Button 1 Failure,,ValveAlarms[011].8
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Button 2 Failure,,ValveAlarms[011].9
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Actuation Timeout,,ValveAlarms[011].10
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Multiple Solenoid ON,,ValveAlarms[011].11
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Spare,,ValveAlarms[011].12
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Spare,,ValveAlarms[011].13
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Spare,,ValveAlarms[011].14
COMMENT,,,ValveAlarm$NXV443-31 - TK443 Inlet Drain Valve$N Spare,,ValveAlarms[011].15
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Valve Alarm,,ValveAlarms[012]
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Not Closing,,ValveAlarms[012].0
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Not Opening,,ValveAlarms[012].1
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Lower Seat Not Lifting,,ValveAlarms[012].2
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Upper Seat Not Lifting,,ValveAlarms[012].3
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N CheckSum Error,,ValveAlarms[012].4
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Position Overrange,,ValveAlarms[012].5
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N No DeviceNet,,ValveAlarms[012].6
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N TX RX Error,,ValveAlarms[012].7
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Button 1 Failure,,ValveAlarms[012].8
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Button 2 Failure,,ValveAlarms[012].9
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Actuation Timeout,,ValveAlarms[012].10
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Multiple Solenoid ON,,ValveAlarms[012].11
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Spare,,ValveAlarms[012].12
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Spare,,ValveAlarms[012].13
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Spare,,ValveAlarms[012].14
COMMENT,,,ValveAlarm$NXV444-05 - TK444 Discharge Valve$N Spare,,ValveAlarms[012].15
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Valve Alarm,,ValveAlarms[013]
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Not Closing,,ValveAlarms[013].0
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Not Opening,,ValveAlarms[013].1
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Lower Seat Not Lifting,,ValveAlarms[013].2
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Upper Seat Not Lifting,,ValveAlarms[013].3
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N CheckSum Error,,ValveAlarms[013].4
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Position Overrange,,ValveAlarms[013].5
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N No DeviceNet,,ValveAlarms[013].6
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N TX RX Error,,ValveAlarms[013].7
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Button 1 Failure,,ValveAlarms[013].8
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Button 2 Failure,,ValveAlarms[013].9
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Actuation Timeout,,ValveAlarms[013].10
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Multiple Solenoid ON,,ValveAlarms[013].11
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Spare,,ValveAlarms[013].12
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Spare,,ValveAlarms[013].13
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Spare,,ValveAlarms[013].14
COMMENT,,,ValveAlarm$NXV444-30 - TK444 Inlet Valve$N Spare,,ValveAlarms[013].15
COMMENT,,,ValveAlarm$NXV444-31 - TK444 Inlet Drain Valve$N Valve Alarm,,ValveAlarms[014]
